GOID	term	gene	geneSetSize
GO:0006875	CELLULAR METAL ION HOMEOSTASIS	FRE8|MDM38|PCA1|PHO80|YLH47|YLR126C	6
GO:0034198	CELLULAR RESPONSE TO AMINO ACID STARVATION	IML1|NPR2|NPR3|SEA4	4
GO:0071230	CELLULAR RESPONSE TO AMINO ACID STIMULUS	ASI1|ASI2|ASI3|GTR1|GTR2|KOG1|MEH1	7
GO:0071470	CELLULAR RESPONSE TO OSMOTIC STRESS	APE1|CDC14|CKA2|CLU1|DCP2|EDC3|FAS2|GLN1|GRE3|HSP104|HSP12|HSP26|HSP30|HSP42|MOT3|PAN1|ROX1|SIS1|SSA1|SSA2|TPS1|TSA1|YDJ1|YGL082W	24
GO:0016036	CELLULAR RESPONSE TO PHOSPHATE STARVATION	ERD1|NPP1|PHM8|PHO4|PHO5|SYG1	6
GO:0061077	CHAPERONE-MEDIATED PROTEIN FOLDING	FPR1|HGH1|HSP31|HSP32|HSP33|TSA1	6
GO:0090110	COPII-COATED VESICLE CARGO LOADING	NEL1|SEC23|SEC24|SEC31|SFB2|SFB3	6
GO:0030866	CORTICAL ACTIN CYTOSKELETON ORGANIZATION	CHC1|FMP45|SCD5|SUR7|SWF1|YNL194C	6
GO:0070940	DEPHOSPHORYLATION OF RNA POLYMERASE II C-TERMINAL DOMAIN	FCP1|GLC7|RTR1|RTR2|SSU72|TFG1	6
GO:0046352	DISACCHARIDE CATABOLIC PROCESS	IMA1|IMA2|IMA3|IMA4|IMA5|MAL11|MAL12|MAL32	8
GO:0006336	DNA REPLICATION-INDEPENDENT NUCLEOSOME ASSEMBLY	ASF1|HIR1|HIR2|HIR3|HPC2|RTT106	6
GO:0007535	DONOR SELECTION	CKA1|CKA2|FDO1|FKH1|MPH1|YKU80	6
GO:0090158	ENDOPLASMIC RETICULUM MEMBRANE ORGANIZATION	IST2|SCS2|SCS22|TCB1|TCB2|TCB3	6
GO:0032509	ENDOSOME TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY	DID2|DID4|MVB12|SNA2|SNA3|SRN2|VPS24|VPS28|VPS36	9
GO:0043928	EXONUCLEOLYTIC CATABOLISM OF DEADENYLATED MRNA	POP2|RRP4|RRP40|RRP42|RRP43|RRP45	6
GO:0009396	FOLIC ACID-CONTAINING COMPOUND BIOSYNTHETIC PROCESS	FAU1|FOL1|FOL2|FOL3|MET7|MTD1|RMA1	7
GO:0010994	FREE UBIQUITIN CHAIN POLYMERIZATION	HUL5|MMS2|RAD5|UBC13|UFD4	5
GO:0006002	FRUCTOSE 6-PHOSPHATE METABOLIC PROCESS	FBP1|GFA1|PFK1|PFK2|YMR084W|YMR085W	6
GO:0006012	GALACTOSE METABOLIC PROCESS	GAL1|GAL10|GAL2|GAL3|GAL4|GAL7|GAL80|RBS1	8
GO:0046475	GLYCEROPHOSPHOLIPID CATABOLIC PROCESS	GDE1|PGC1|PLB1|PLB2|PLB3|SPO1	6
GO:0070868	HETEROCHROMATIN ORGANIZATION INVOLVED IN CHROMATIN SILENCING	DPB2|DPB3|DPB4|GIC1|POL2|SGF29	6
GO:0034729	HISTONE H3-K79 METHYLATION	DOT1|HHF1|HHF2|SUS1|SWD2|UBP8	6
GO:0043967	HISTONE H4 ACETYLATION	ARP4|ARP7|EAF3|ESA1|HAT1|NAT4|NGG1|SWC4	8
GO:0009098	LEUCINE BIOSYNTHETIC PROCESS	BAT1|BAT2|LEU1|LEU2|LEU3|LEU4|LEU9	7
GO:1990145	MAINTENANCE OF TRANSLATIONAL FIDELITY	EFB1|EFT1|EFT2|RPL3|SUI1	5
GO:0006828	MANGANESE ION TRANSPORT	CCC1|HIP1|PHO84|PMR1|SMF1|SMF2	6
GO:0061024	MEMBRANE ORGANIZATION	MIC10|PER33|POM33|SAR1|SEY1|YGR026W	6
GO:0007091	METAPHASE/ANAPHASE TRANSITION OF MITOTIC CELL CYCLE	ACL4|APC1|APC2|CDC16|CDC23|CDC27	6
GO:0008053	MITOCHONDRIAL FUSION	AFG3|FZO1|MDM30|MGM1|UGO1|YTA12	6
GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY	CMC2|COA4|COX23|IMP2|MDM35|SOM1	6
GO:0090307	MITOTIC SPINDLE ASSEMBLY	BCP1|CDC28|CIN8|DML1|KIP1|KIP3|STU1|TUB2	8
GO:0051455	MONOPOLAR SPINDLE ATTACHMENT TO MEIOSIS I KINETOCHORE	CSM1|DSN1|HRR25|LRS4|MAM1|MIF2	6
GO:0000395	MRNA 5'-SPLICE SITE RECOGNITION	PRP28|PRP39|PRP42|PRP8|PRP9|YHC1	6
GO:0061157	MRNA DESTABILIZATION	ASC1|HEL2|PHO92|WHI3|WHI4|XRN1	6
GO:1990481	MRNA PSEUDOURIDINE SYNTHESIS	CBF5|DEG1|PUS1|PUS2|PUS4|PUS7	6
GO:0009435	NAD BIOSYNTHETIC PROCESS	BNA1|BNA2|BNA4|BNA5|BNA6|BNA7|NMA1|NMA2|NPT1|NRK1|POF1|QNS1	12
GO:0043433	NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	GAL80|KSS1|PCL5|PHO85|REG1|RPT6	6
GO:0046580	NEGATIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION	AVO1|BCY1|GPB1|GPB2|IRA1|IRA2	6
GO:0045892	NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	CDC28|EAF3|ESA1|MFG1|MOT1|ROX1|SAS2|SAS3	8
GO:0001080	NITROGEN CATABOLITE ACTIVATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER	DAL81|DAL82|GAT1|GCN4|GLN3|UGA3	6
GO:0006807	NITROGEN COMPOUND METABOLIC PROCESS	CPA1|CPA2|CPS1|DCG1|GDH2|GLN1|GLT1|NIT1|NIT2|NIT3|NTA1|QNS1|URA2|YIL165C	14
GO:0000280	NUCLEAR DIVISION	DBF2|EBP2|MER1|SCP160|TUB1|TUB3	6
GO:0007097	NUCLEAR MIGRATION	ARP1|DYN1|JNM1|PAC1|SLK19|TOP1	6
GO:0000743	NUCLEAR MIGRATION INVOLVED IN CONJUGATION WITH CELLULAR FUSION	BIK1|CIK1|GPA1|KAR3|MPS3|NIP100	6
GO:0051292	NUCLEAR PORE COMPLEX ASSEMBLY	DYN2|KAP95|NUP157|NUP170|RTN1|YOP1	6
GO:0071033	NUCLEAR RETENTION OF PRE-MRNA AT THE SITE OF TRANSCRIPTION	LRP1|RRP6|SAC3|SUS1|THP1|YJR084W	6
GO:0006490	OLIGOSACCHARIDE-LIPID INTERMEDIATE BIOSYNTHETIC PROCESS	ALG1|ALG11|ALG2|ALG3|ALG6|ALG8	6
GO:0007232	OSMOSENSORY SIGNALING PATHWAY VIA SHO1 OSMOSENSOR	AHK1|HKR1|MSB2|STE11|STE20|STE50	6
GO:0033962	P-BODY ASSEMBLY	DHH1|EDC3|LSM3|LSM4|PAT1|SCD6	6
GO:0043171	PEPTIDE CATABOLIC PROCESS	AAP1|APE2|BAR1|RPT2|STE23|TMA108	6
GO:0018230	PEPTIDYL-L-CYSTEINE S-PALMITOYLATION	ERF2|PFA3|PFA4|PFA5|SHR5|SWF1	6
GO:0000425	PEXOPHAGY	ATG15|PEP1|PEP4|PRB1|VAC8|VMA2	6
GO:0006796	PHOSPHATE-CONTAINING COMPOUND METABOLIC PROCESS	IPP1|PHO11|PHO3|PHO5|PHO81|PPA2	6
GO:0006646	PHOSPHATIDYLETHANOLAMINE BIOSYNTHETIC PROCESS	CHO1|CKI1|ECT1|EKI1|EPT1|PSD1|PSD2	7
GO:0031536	POSITIVE REGULATION OF EXIT FROM MITOSIS	ESP1|LTE1|NUD1|SLK19|SPO12|TEM1	6
GO:1903501	POSITIVE REGULATION OF MITOTIC ACTOMYOSIN CONTRACTILE RING ASSEMBLY	CDC14|GLC7|REF2|RHO1|ROM2|TUS1	6
GO:0045732	POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS	AMA1|MAC1|RPT1|RPT2|RSP5|TOM1	6
GO:0045860	POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY	CDC11|CDC12|DBF4|RPP1A|RPP1B|RPP2B	6
GO:0071902	POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	DBF4|HYM1|KOG1|PKH1|PKH2|POR1|POR2|SNF4	8
GO:0007329	POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER BY PHEROMONES	KAR4|PCC1|PLP1|PLP2|STE12|SUB1	6
GO:0071931	POSITIVE REGULATION OF TRANSCRIPTION INVOLVED IN G1/S TRANSITION OF MITOTIC CELL CYCLE	MBP1|RME1|SPT6|SWI4|SWI6|YAR1	6
GO:0006813	POTASSIUM ION TRANSPORT	ENA1|ENA2|KHA1|MDM38|NHX1|QDR2|TRK1|TRK2|VHC1|VNX1|YDL183C|YLH47	12
GO:0000338	PROTEIN DENEDDYLATION	CSI1|CSN9|PCI8|RPN5|RRI1|RRI2	6
GO:0016560	PROTEIN IMPORT INTO PEROXISOME MATRIX, DOCKING	PEX13|PEX14|PEX17|PEX5|PEX7|PEX9	6
GO:0045048	PROTEIN INSERTION INTO ER MEMBRANE	BFR1|GET1|GET2|GET3|GET4|MDY2	6
GO:0010737	PROTEIN KINASE A SIGNALING	GPA2|SOK1|TPK1|TPK2|TPK3|YAK1	6
GO:0036010	PROTEIN LOCALIZATION TO ENDOSOME	BRO1|MUK1|SNX4|VPS21|VPS9|YPT52	6
GO:0051604	PROTEIN MATURATION	CSF1|HSP60|HSP82|ISA2|PHO88|YKL077W|YME1	7
GO:0018279	PROTEIN N-LINKED GLYCOSYLATION VIA ASPARAGINE	KRE5|OST1|OST3|OST6|STT3|WBP1	6
GO:0045116	PROTEIN NEDDYLATION	DCN1|RUB1|SKP1|UBA3|UBC12|ULA1	6
GO:0006627	PROTEIN PROCESSING INVOLVED IN PROTEIN TARGETING TO MITOCHONDRION	COR1|IMP1|IMP2|MAS1|MAS2|OCT1	6
GO:0051603	PROTEOLYSIS INVOLVED IN CELLULAR PROTEIN CATABOLIC PROCESS	CPS1|CYM1|MDM30|PEP4|PRE1|PRE10|PRE2|PRE3|PRE4|PRE5|PRE6|PRE7|PRE8|PRE9|PUP1|PUP2|PUP3|SCL1|STE23|YPF1	20
GO:0008655	PYRIMIDINE-CONTAINING COMPOUND SALVAGE	CDD1|DAS2|FCY1|FUR1|URH1|URK1	6
GO:0033215	REDUCTIVE IRON ASSIMILATION	AIM14|FET3|FET5|FRE7|FRE8|GMC1	6
GO:1900101	REGULATION OF ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE	PMT1|PMT2|PMT4|SKN7|YAP1|YPT1	6
GO:0017157	REGULATION OF EXOCYTOSIS	GYL1|SEC4|SFH5|SRO7|SRO77|SWF1	6
GO:0090337	REGULATION OF FORMIN-NUCLEATED ACTIN CABLE ASSEMBLY	BUD14|DMA1|DMA2|KEL1|KEL2|RHO4	6
GO:0051453	REGULATION OF INTRACELLULAR PH	NHX1|PFK1|PFK2|PMA1|PMA2|YHC3	6
GO:0046822	REGULATION OF NUCLEOCYTOPLASMIC TRANSPORT	GSP1|KAP95|NUP145|NUP192|PHO85|SGF73	6
GO:2000220	REGULATION OF PSEUDOHYPHAL GROWTH	KAP123|KSP1|MKS1|SAK1|STE12|UBA4	6
GO:0035542	REGULATION OF SNARE COMPLEX ASSEMBLY	PEP3|PEP5|VAM6|VPS16|VPS33|VPS41	6
GO:0010525	REGULATION OF TRANSPOSITION, RNA-MEDIATED	RAD3|SSL2|STE11|STE4|STE5|STE7	6
GO:0048478	REPLICATION FORK PROTECTION	CCR4|CHK1|CSM3|DUN1|MRC1|TOF1	6
GO:0042594	RESPONSE TO STARVATION	ATG1|COM2|GID10|MSN2|MSN4|RVS161	6
GO:0000301	RETROGRADE TRANSPORT, VESICLE RECYCLING WITHIN GOLGI	COG1|COG2|COG3|COG4|DOP1|YPT6	6
GO:0009231	RIBOFLAVIN BIOSYNTHETIC PROCESS	FMN1|RIB1|RIB2|RIB3|RIB4|RIB5|RIB7	7
GO:0032790	RIBOSOME DISASSEMBLY	DOM34|HBS1|MEF2|RLI1|YCL001W-A|YCL001W-B	6
GO:0016070	RNA METABOLIC PROCESS	LSM1|LSM12|LSM8|MAK31|MRH4|POP5|RNH201|RTC3|STO1	9
GO:0070898	RNA POLYMERASE III PREINITIATION COMPLEX ASSEMBLY	BDP1|BRF1|NHP6A|NHP6B|SPT15|SUB1	6
GO:0031167	RRNA METHYLATION	BMT2|DIM1|MRM1|MRM2|NOP1|RRP8|SPB1|YMR265C	8
GO:0000296	SPERMINE TRANSPORT	PTK1|PTK2|TPO1|TPO2|TPO3|TPO4	6
GO:0000390	SPLICEOSOMAL COMPLEX DISASSEMBLY	CWC23|DED1|NTR2|PRP22|PRP43|SPP382	6
GO:0035376	STEROL IMPORT	ARV1|AUS1|CLA4|PDR11|SKM1|STE20	6
GO:0000103	SULFATE ASSIMILATION	MET1|MET10|MET14|MET22|MET3|MET5|MET8|TRX2	8
GO:0016233	TELOMERE CAPPING	CDC13|POL12|RAD50|RIF1|RIF2|STN1|TEN1	7
GO:0006363	TERMINATION OF RNA POLYMERASE I TRANSCRIPTION	CHD1|GRC3|ISW1|NSI1|REB1|RPA12	6
GO:0030846	TERMINATION OF RNA POLYMERASE II TRANSCRIPTION, POLY(A)-COUPLED	PCF11|PTA1|RAI1|RAT1|REF2|SSU72	6
GO:0006362	TRANSCRIPTION ELONGATION FROM RNA POLYMERASE I PROMOTER	CDC73|CTR9|DST1|PAF1|RPA34|RPA49	6
GO:0002188	TRANSLATION REINITIATION	RPG1|TIF11|TIF34|TIF35|TMA20|TMA22	6
GO:0006452	TRANSLATIONAL FRAMESHIFTING	ANB1|HYP2|SSB1|SSB2|SSZ1|ZUO1	6
GO:0019433	TRIGLYCERIDE CATABOLIC PROCESS	AYR1|LPX1|TGL2|TGL3|TGL4|YJU3|YPR147C	7
GO:0006388	TRNA SPLICING, VIA ENDONUCLEOLYTIC CLEAVAGE AND LIGATION	CLP1|POA1|PTC1|SEN15|SEN2|SEN34|TPT1|TRL1|YMR087W	9
GO:0002143	TRNA WOBBLE POSITION URIDINE THIOLATION	NCS2|NCS6|SLM3|TUM1|UBA4|URM1	6
GO:0000162	TRYPTOPHAN BIOSYNTHETIC PROCESS	HIS6|TRP1|TRP2|TRP3|TRP4|TRP5	6
GO:0034473	U1 SNRNA 3'-END PROCESSING	RNT1|RRP42|RRP43|RRP45|RRP6|SKI6	6
GO:0006900	VESICLE BUDDING FROM MEMBRANE	CHM7|SNF7|VPS20|VPS60|YAP1801|YAP1802	6
GO:0099022	VESICLE TETHERING	PEP3|PEP5|VAM6|VPS16|VPS33|VPS41	6
GO:0006829	ZINC ION TRANSPORT	COT1|FET4|MSC2|YKE4|ZRC1|ZRG17|ZRT1|ZRT2|ZRT3	9
GO:0006078	(1->6)-BETA-D-GLUCAN BIOSYNTHETIC PROCESS	BIG1|KEG1|KNH1|KRE6|KRE9|SKN1|UGP1	7
GO:0006370	7-METHYLGUANOSINE MRNA CAPPING	ABD1|CDC28|CEG1|CET1|CTL1|KIN28|SPT4|STO1	8
GO:0015802	BASIC AMINO ACID TRANSPORT	ALP1|CAN1|LYP1|VBA1|VBA2|VBA3|VBA4	7
GO:0005975	CARBOHYDRATE METABOLIC PROCESS	AMS1|ATG26|ATH1|BGL2|CAT8|CDA1|CDA2|CIT1|CIT2|CIT3|CRH1|CRR1|CTS1|CTS2|CWH41|DCW1|DFG5|EGH1|EMI2|EXG1|EXG2|FBA1|FBP1|GAL1|GAL10|GAL3|GAL4|GAL7|GAL80|GDB1|GLC3|GLC7|GLC8|GLK1|GPD1|GPD2|GPH1|GRR1|GUT1|HXK1|HXK2|IMA1|IMA2|IMA3|IMA4|IMA5|KRE6|MAL12|MAL32|MDH1|MDH2|MDH3|MIG1|MIG2|MNL1|MNL2|MNS1|MPA43|NQM1|NTH1|NTH2|PCL10|PCL6|PCL7|PCL8|PCM1|PGM1|PGM2|PGU1|PKP1|PKP2|PMI40|PRM15|RBK1|ROT2|RPE1|SCW10|SCW11|SCW4|SGA1|SHB17|SIM1|SKN1|SNF1|SNF4|SOL1|SOL2|SOL3|SOL4|SPR1|SUC2|SUN4|TAL1|UTH1|UTR2|XKS1|XYL2|YDR109C|YDR248C|YHR210C|YLR446W|YMR099C|YMR196W|YNR071C|ZWF1	105
GO:0032048	CARDIOLIPIN METABOLIC PROCESS	AFT1|AFT2|CLD1|DDL1|TAZ1|UPS1|UPS2	7
GO:0000902	CELL MORPHOGENESIS	BEM1|CAP2|CIN2|DOP1|ELM1|RNY1|SRV2|TAO3|YCK1|YCK2	10
GO:0070301	CELLULAR RESPONSE TO HYDROGEN PEROXIDE	DDR2|FLO1|HSP30|IRA2|MDL2|NCL1|RSC9	7
GO:0090156	CELLULAR SPHINGOLIPID HOMEOSTASIS	GNP1|ORM1|ORM2|VPS51|VPS52|VPS53|VPS54	7
GO:0015937	COENZYME A BIOSYNTHETIC PROCESS	CAB1|CAB2|CAB3|CAB4|CAB5|SIS2|VHS3	7
GO:0061640	CYTOSKELETON-DEPENDENT CYTOKINESIS	CDC10|CDC11|CDC12|CDC3|SHS1|SPR28|SPR3	7
GO:0031087	DEADENYLATION-INDEPENDENT DECAPPING OF NUCLEAR-TRANSCRIBED MRNA	CDC36|DCP1|DCP2|EDC3|MOT2|NOT5|RAI1	7
GO:0000917	DIVISION SEPTUM ASSEMBLY	BNI4|CDC11|DBF20|MNN10|RGL1|SHS1|SPR28|SUN4|UTH1	9
GO:0006488	DOLICHOL-LINKED OLIGOSACCHARIDE BIOSYNTHETIC PROCESS	ALG12|ALG13|ALG14|ALG6|ALG7|ALG9|DFG10|DIE2|DPM1|RFT1	10
GO:0071786	ENDOPLASMIC RETICULUM TUBULAR NETWORK ORGANIZATION	LNP1|PER33|POM33|RTN1|RTN2|YGR026W|YOP1	7
GO:0035621	ER TO GOLGI CERAMIDE TRANSPORT	ARV1|KES1|OSH2|OSH3	4
GO:0006631	FATTY ACID METABOLIC PROCESS	ACC1|ACP1|CAT2|CEM1|CRC1|DCI1|ECI1|ELO1|ELO2|ELO3|ETR1|FAA1|FAA2|FAA3|FAA4|FAS1|FAS2|FOX2|FRM2|HFA1|HTD2|IFA38|IZH2|MCT1|OAR1|OLE1|PCS60|PHS1|POT1|POX1|PPT2|SCS7|TSC13|YAT1|YAT2|YLR118C	36
GO:0070911	GLOBAL GENOME NUCLEOTIDE-EXCISION REPAIR	ABF1|DOT1|ELC1|HHT1|HHT2|PAF1|RTF1	7
GO:1904659	GLUCOSE TRANSMEMBRANE TRANSPORT	HXT1|HXT2|HXT3|HXT5|HXT7|MTH1|SNF3	7
GO:0015886	HEME TRANSPORT	AAC1|AAC3|DNM1|GEM1|MGM1|PET9|TDH3	7
GO:0000105	HISTIDINE BIOSYNTHETIC PROCESS	ADE3|HIS1|HIS2|HIS3|HIS4|HIS5|HIS6|HIS7|MIS1	9
GO:0016578	HISTONE DEUBIQUITINATION	SEM1|SGF11|SGF73|SUS1|UBP10|UBP2|UBP8	7
GO:0043966	HISTONE H3 ACETYLATION	GCN5|HOG1|NGG1|NUT1|RTT109|SAS2|SGF29|TAF5|TAF9	9
GO:0016574	HISTONE UBIQUITINATION	BRE1|HEL1|HEL2|LGE1|PEP5|RAD6|SNT2	7
GO:0070676	INTRALUMENAL VESICLE FORMATION	BRO1|DID4|DOA4|SNF7|VPS20|VPS24|VPS4	7
GO:0043570	MAINTENANCE OF DNA REPEAT ELEMENTS	CSM3|FOB1|MRC1|MSH2|MSH3|MSH6|TOF1	7
GO:0000025	MALTOSE CATABOLIC PROCESS	IMA1|IMA2|IMA3|IMA4|IMA5|MAL12|MAL32	7
GO:0007533	MATING TYPE SWITCHING	DPB11|HO|MYO4|SHE2|SHE3|SHE4|ULS1	7
GO:0000706	MEIOTIC DNA DOUBLE-STRAND BREAK PROCESSING	CDC28|DNA2|EXO1|MRE11|SAE2|SGS1|SPO11	7
GO:0031930	MITOCHONDRIA-NUCLEUS SIGNALING PATHWAY	ATG32|LST8|MKS1|RTG1|RTG2|RTG3|TOR1	7
GO:0006121	MITOCHONDRIAL ELECTRON TRANSPORT, SUCCINATE TO UBIQUINONE	SDH1|SDH3|SDH4|SDH5|SDH9|SHH3|SHH4	7
GO:0070124	MITOCHONDRIAL TRANSLATIONAL INITIATION	AEP2|AEP3|AIM23|IFM1|MRP21|MRP51|RSM28	7
GO:0044879	MORPHOGENESIS CHECKPOINT	BEM2|GIN4|HSL1|KCC4|SWE1	5
GO:0006474	N-TERMINAL PROTEIN AMINO ACID ACETYLATION	ARD1|MAK10|MAK3|MAK31|NAT1|NAT4|NAT5	7
GO:0043628	NCRNA 3'-END PROCESSING	CSL4|DIS3|REX3|RRP40|RRP42|RRP43|RRP46	7
GO:0034316	NEGATIVE REGULATION OF ARP2/3 COMPLEX-MEDIATED ACTIN NUCLEATION	AIM7|BBC1|CRN1|LSB1|PIN3|SLA1|SLA2	7
GO:0010629	NEGATIVE REGULATION OF GENE EXPRESSION	ASC1|CLA4|HEL2|MAP1|SKM1|SPP41|STE20	7
GO:1904750	NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEOLUS	BNS1|CDC15|CDC5|ESP1|SPO12|SPS1|TEM1	7
GO:0071930	NEGATIVE REGULATION OF TRANSCRIPTION INVOLVED IN G1/S TRANSITION OF MITOTIC CELL CYCLE	FKH1|FKH2|HIR3|NRM1|SRL3|WHI5|YHP1|YOX1	8
GO:0019740	NITROGEN UTILIZATION	ADY2|ATO2|ATO3|MEP1|MEP2|MEP3|UGA3	7
GO:0006998	NUCLEAR ENVELOPE ORGANIZATION	APQ12|BRL1|BRR6|MPS3|NEM1|SAR1|SPO7	7
GO:0015851	NUCLEOBASE TRANSPORT	DAL4|FUI1|FUN26|FUR4|NRT1|THI7|THI72	7
GO:0006730	ONE-CARBON METABOLIC PROCESS	ADE3|DFR1|FOL3|GCV1|GCV2|GCV3|MET12|MET13|MET7|MIS1|MTD1|RMA1|SAH1|SAM1|SAM2|SHM1|SHM2	17
GO:0009051	PENTOSE-PHOSPHATE SHUNT, OXIDATIVE BRANCH	GND1|GND2|SOL1|SOL2|SOL3|SOL4|ZWF1	7
GO:0017183	PEPTIDYL-DIPHTHAMIDE BIOSYNTHETIC PROCESS FROM PEPTIDYL-HISTIDINE	DPH1|DPH2|DPH5|DPH6|JJJ3|KTI11|RRT2	7
GO:0018026	PEPTIDYL-LYSINE MONOMETHYLATION	CTM1|EFM1|EFM4|RKM1|RKM2|RKM3|RKM4	7
GO:0016559	PEROXISOME FISSION	CAF4|DNM1|FIS1|MDV1|PEX11|PEX25|RPN11|VPS1	8
GO:0006654	PHOSPHATIDIC ACID BIOSYNTHETIC PROCESS	AYR1|CLD1|DGK1|ECM18|ICT1|SLC1|SPO14|YGR015C	8
GO:0006644	PHOSPHOLIPID METABOLIC PROCESS	CHO2|CRD1|DDL1|DPP1|LPP1|PGC1|SCS3|SPO14|TAZ1|TGL4	10
GO:2000251	POSITIVE REGULATION OF ACTIN CYTOSKELETON REORGANIZATION	BNI1|BNR1|BUD6|PEA2|SPA2|SSK1|SSK2	7
GO:1901195	POSITIVE REGULATION OF FORMATION OF TRANSLATION PREINITIATION COMPLEX	CDC33|DBP1|DED1|TIF1|TIF2|TIF4631|TIF4632	7
GO:2000219	POSITIVE REGULATION OF INVASIVE GROWTH IN RESPONSE TO GLUCOSE LIMITATION	GAL11|PHO23|RXT2|SAP30|SNF2|SNF5|YTA7	7
GO:0010696	POSITIVE REGULATION OF MITOTIC SPINDLE POLE BODY SEPARATION	CDC28|CDC5|CLB1|CLB2|CLB3|CLB4|CLB5	7
GO:1902499	POSITIVE REGULATION OF PROTEIN AUTOUBIQUITINATION	BUB3|MAD2|MAD3|MND2|PEX22|RUP1|USA1	7
GO:0051865	PROTEIN AUTOUBIQUITINATION	CDC34|DMA1|DMA2|HRD1|IPA1|PEX4|RSP5	7
GO:0071459	PROTEIN LOCALIZATION TO CHROMOSOME, CENTROMERIC REGION	CHL4|CTF19|IML3|MCM21|REC8|SCM3|SPO13	7
GO:0072665	PROTEIN LOCALIZATION TO VACUOLE	DSK2|EGO2|MEH1|NPL4|UFD1|YPT7	6
GO:0032446	PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION	AOS1|ATG10|ATG7|UBA1|UBA2|UBA3|ULA1	7
GO:0032447	PROTEIN URMYLATION	ELP2|ELP6|NCS2|NCS6|UBA4|URE2|URM1	7
GO:0006898	RECEPTOR-MEDIATED ENDOCYTOSIS	APL3|APL4|ARC35|CHC1|CMD1|MYO5|SWA2|YPP1	8
GO:0043457	REGULATION OF CELLULAR RESPIRATION	HAP1|HAP2|HAP3|HAP4|HAP5|RNR3|TAR1	7
GO:0005979	REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS	GAC1|GIP2|PCL6|PCL7|PIG1|PIG2|SAK1	7
GO:0040020	REGULATION OF MEIOTIC NUCLEAR DIVISION	CDC20|IME1|IME2|RCK1|RCK2|SWE1|UME1	7
GO:0060303	REGULATION OF NUCLEOSOME DENSITY	CDC28|CHD1|CKS1|HST4|ISW1|SPN1|SPT6	7
GO:0060304	REGULATION OF PHOSPHATIDYLINOSITOL DEPHOSPHORYLATION	IST2|SCS2|SCS22|TCB1|TCB2|TCB3|VPS74	7
GO:0043254	REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY	GAL83|RAV1|RAV2|SIP1|SIP2|SKP1|YPT7	7
GO:0090262	REGULATION OF TRANSCRIPTION-COUPLED NUCLEOTIDE-EXCISION REPAIR	CDC73|CTR9|LEO1|PAF1|RTF1|SPT4|SPT5	7
GO:0031297	REPLICATION FORK PROCESSING	GLC7|MHF1|MHF2|MMS1|MMS22|MMS4|RTT101	7
GO:0006979	RESPONSE TO OXIDATIVE STRESS	ATX1|CCP1|CTA1|CTT1|FCP1|GPX1|GPX2|HMX1|HYR1|MXR2|OXR1|RAD3|SNF2|SSN3|SVF1|TSA1|TSA2|YDR222W|YLR225C	19
GO:1990116	RIBOSOME-ASSOCIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	CDC48|NPL4|RKR1|RQC1|RQC2|UBR1|UFD1	7
GO:0009303	RRNA TRANSCRIPTION	HHT1|HHT2|POL5|RNT1|RSC9|TOP1|TOP2	7
GO:0032185	SEPTIN CYTOSKELETON ORGANIZATION	AFR1|FMP45|SUR7|SYP1|YNL194C	5
GO:0031120	SNRNA PSEUDOURIDINE SYNTHESIS	CBF5|CIC1|GAR1|NHP2|NOP10|PUS1|PUS7	7
GO:0000387	SPLICEOSOMAL SNRNP ASSEMBLY	CWC2|LSM4|PRP3|PRP31|SMD1|SMD2|SMD3|SME1|SMX2|SMX3|YHC1	11
GO:0030847	TERMINATION OF RNA POLYMERASE II TRANSCRIPTION, EXOSOME-DEPENDENT	NAB3|NRD1|PCF11|PTI1|RAT1|RNT1|SSU72	7
GO:0001174	TRANSCRIPTIONAL START SITE SELECTION AT RNA POLYMERASE II PROMOTER	HMO1|REB1|SSU72|SUA7|TAF14|TFG1|TFG2	7
GO:0005992	TREHALOSE BIOSYNTHETIC PROCESS	PGM1|PGM2|TPS1|TPS2|TPS3|TSL1|UGP1	7
GO:0070058	TRNA GENE CLUSTERING	BRN1|ECO1|SCC2|SMC2|SMC4|YCG1|YCS4	7
GO:0031119	TRNA PSEUDOURIDINE SYNTHESIS	DEG1|PUS1|PUS2|PUS6|PUS7|PUS9|RIB2	7
